model,inf_time,input_size
gluon_resnext101_64x4d,58.97326469421387,224
gluon_senet154,86.62540435791016,224
gluon_seresnext50_32x4d,22.73146152496338,224
gluon_seresnext101_32x4d,43.44358444213867,224
gluon_seresnext101_64x4d,63.99271011352539,224
gluon_xception65,55.96268653869629,299
gmixer_12_224,10.192399024963379,224
gmixer_24_224,20.916080474853516,224
gmlp_b16_224,56.80674076080322,224
gmlp_s16_224,23.46630573272705,224
gmlp_ti16_224,10.737948417663574,224
halonet26t,14.553818702697754,256
halonet50ts,28.669114112854004,256
halonet_h1,79.41579818725586,256
halonet_h1_c4c5,31.53021812438965,256
hardcorenas_a,3.861722946166992,224
hardcorenas_b,4.330935478210449,224
hardcorenas_c,4.626483917236328,224
hardcorenas_d,6.148581504821777,224
hardcorenas_e,5.8019208908081055,224
hardcorenas_f,5.830717086791992,224
hrnet_w18,25.935850143432617,224
hrnet_w18_small,7.656683921813965,224
hrnet_w18_small_v2,14.094462394714355,224
hrnet_w30,33.10493469238281,224
hrnet_w32,34.312782287597656,224
hrnet_w40,47.4625825881958,224
hrnet_w44,56.15145683288574,224
hrnet_w48,59.30806636810303,224
hrnet_w64,86.74094676971436,224
ig_resnext101_32x8d,62.89366722106933,224
ig_resnext101_32x16d,111.1064100265503,224
ig_resnext101_32x32d,232.97380924224854,224
ig_resnext101_32x48d,390.56464195251465,224
inception_resnet_v2,51.73677444458008,299
inception_v3,20.257949829101562,299
inception_v4,40.42949199676514,299
lambda_resnet26t,12.179503440856934,256
lambda_resnet50t,16.26913547515869,224
legacy_senet154,86.53156757354736,224
legacy_seresnet18,5.695962905883789,224
legacy_seresnet34,11.03978157043457,224
legacy_seresnet50,17.093005180358887,224
legacy_seresnet101,31.159677505493164,224
legacy_seresnet152,45.74297904968262,224
legacy_seresnext26_32x4d,12.403931617736816,224
legacy_seresnext50_32x4d,22.82691478729248,224
legacy_seresnext101_32x4d,43.56101036071777,224
levit_128,7.3500776290893555,224
levit_128s,5.865478515625,224
levit_192,7.436680793762207,224
levit_256,7.33701229095459,224
levit_384,8.982338905334473,224
mixer_b16_224,35.11960983276367,224
mixer_b16_224_in21k,35.68669319152832,224
mixer_b16_224_miil,35.39280414581299,224
mixer_b16_224_miil_in21k,35.57792663574219,224
mixer_b32_224,12.397933006286621,224
mixer_l16_224,121.52688980102539,224
mixer_l16_224_in21k,122.50638484954834,224
mixer_l32_224,38.482089042663574,224
mixer_s16_224,11.19579792022705,224
mixer_s32_224,4.3109893798828125,224
mixnet_l,13.194046020507812,224
mixnet_m,10.274791717529297,224
mixnet_s,8.387970924377441,224
mixnet_xl,18.58358860015869,224
mixnet_xxl,30.400691032409668,224
mnasnet_050,3.531308174133301,224
mnasnet_075,3.5392141342163086,224
mnasnet_100,3.833446502685547,224
mnasnet_140,5.9322357177734375,224
mnasnet_a1,4.714822769165039,224
mnasnet_b1,3.9416790008544917,224
mnasnet_small,4.562821388244629,224
mobilenetv2_100,4.10609245300293,224
mobilenetv2_110d,5.887470245361328,224
mobilenetv2_120d,8.327488899230957,224
mobilenetv2_140,6.483392715454102,224
mobilenetv3_large_075,4.331107139587402,224
mobilenetv3_large_100,4.331884384155273,224
mobilenetv3_large_100_miil,4.32373046875,224
mobilenetv3_large_100_miil_in21k,4.312338829040527,224
mobilenetv3_rw,4.297070503234863,224
mobilenetv3_small_075,3.643012046813965,224
mobilenetv3_small_100,3.655414581298828,224
nasnetalarge,147.0133352279663,331
nf_ecaresnet26,12.348365783691406,224
nf_ecaresnet50,21.71295166015625,224
nf_ecaresnet101,37.821688652038574,224
nf_regnet_b0,14.960308074951172,192
nf_regnet_b1,17.76289463043213,256
nf_regnet_b2,20.842514038085938,240
nf_regnet_b3,24.124321937561035,288
nf_regnet_b4,36.35276794433594,320
nf_regnet_b5,74.72813129425049,384
nf_resnet26,10.842704772949219,224
nf_resnet50,22.21573829650879,256
nf_resnet101,33.70646953582764,224
nf_seresnet26,12.8489351272583,224
nf_seresnet50,22.61343002319336,224
nf_seresnet101,39.976468086242676,224
nfnet_f0,29.835844039916992,192
nfnet_f0s,29.63016986846924,192
nfnet_f1,67.61622428894043,224
nfnet_f1s,67.45691776275635,224
nfnet_f2,113.07973861694336,256
nfnet_f2s,112.85009860992432,256
nfnet_f3,224.91039276123047,320
nfnet_f3s,225.2234983444214,320
nfnet_f4,389.54851627349854,384
nfnet_f4s,390.61925888061523,384
nfnet_f5,567.8994417190552,416
nfnet_f5s,567.7341461181641,416
nfnet_f6,737.4625778198242,448
nfnet_f6s,735.8493614196777,448
nfnet_f7,981.4370489120483,480
nfnet_f7s,980.3456211090088,480
nfnet_l0,21.42159938812256,224
pit_b_224,45.848588943481445,224
pit_b_distilled_224,46.14701747894287,224
pit_s_224,14.341692924499512,224
pit_s_distilled_224,14.331955909729004,224
pit_ti_224,6.27591609954834,224
pit_ti_distilled_224,6.245207786560059,224
pit_xs_224,8.444294929504395,224
pit_xs_distilled_224,8.573970794677734,224
pnasnet5large,146.55043125152588,331
rednet26t,13.858656883239746,256
rednet50ts,20.570063591003418,256
regnetx_002,6.538915634155273,224
regnetx_004,8.455557823181152,224
regnetx_006,5.815706253051758,224
regnetx_008,6.958184242248535,224
regnetx_016,9.827518463134766,224
regnetx_032,15.632834434509277,224
regnetx_040,19.707040786743164,224
regnetx_064,24.65108871459961,224
regnetx_080,24.510111808776855,224
regnetx_120,37.310471534729004,224
